id,team_id,team_name,pi_id,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,total
45,AT-802,802 Agile Team,PI-1902,32,24,32,28,32,32,180
46,AT-803,803 Agile Team,PI-1902,24,28,28,32,32,24,168
47,AT-804,804 Agile Team,PI-1902,24,28,32,32,24,32,172
48,AT-805,805 Agile Team,PI-1902,28,24,32,24,32,32,172
49,AT-806,806 Agile Team,PI-1902,32,28,24,32,32,32,180
50,AT-807,807 Agile Team,PI-1902,32,32,28,32,28,32,184
51,AT-808,808 Agile Team,PI-1902,32,32,28,24,28,32,176
52,AT-809,809 Agile Team,PI-1902,32,32,24,32,24,28,172
53,AT-810,810 Agile Team,PI-1902,32,32,28,32,28,32,184
54,AT-abc1,Agile Team 1000 1,PI-1902,24,28,32,28,32,32,176
55,AT-abc10,Agile Team 1000 10,PI-1902,32,32,28,32,28,28,180
56,AT-abc2,Agile Team 1000 2,PI-1902,32,28,24,32,32,32,180
57,AT-abc3,Agile Team 1000 3,PI-1902,28,32,32,24,32,32,180
58,AT-abc4,Agile Team 1000 4,PI-1902,28,32,24,32,28,32,176
59,AT-abc5,Agile Team 1000 5,PI-1902,32,24,32,28,32,32,180
60,AT-abc6,Agile Team 1000 6,PI-1902,24,28,28,32,32,24,168
61,AT-abc7,Agile Team 1000 7,PI-1902,24,28,32,32,24,32,172
62,AT-abc8,Agile Team 1000 8,PI-1902,28,24,32,24,32,32,172
63,AT-abc9,Agile Team 1000 9,PI-1902,32,28,24,32,32,32,180
64,AT-800,800 Agile Team,PI-1902,32,32,28,32,28,32,184
65,AT-801,801 Agile Team,PI-1902,32,32,32,28,32,24,180
66,AT-802,802 Agile Team,PI-1902,32,32,28,24,28,32,176
67,AT-803,803 Agile Team,PI-1902,32,32,24,32,24,28,172
68,AT-804,804 Agile Team,PI-1902,32,32,28,32,28,32,184
69,AT-805,805 Agile Team,PI-1902,24,28,32,28,32,32,176
70,AT-806,806 Agile Team,PI-1902,32,32,28,32,28,28,180
71,AT-807,807 Agile Team,PI-1902,32,28,24,32,32,32,180
72,AT-808,808 Agile Team,PI-1902,28,32,32,24,32,32,180
73,AT-809,809 Agile Team,PI-1902,28,32,32,24,32,32,180
74,AT-810,810 Agile Team,PI-1902,32,24,32,28,32,32,180
75,AT-abc1,Agile Team 1000 1,PI-1902,24,28,28,32,32,24,168
76,AT-abc10,Agile Team 1000 10,PI-1902,24,28,32,32,24,32,172
77,AT-abc2,Agile Team 1000 2,PI-1902,28,24,32,24,32,32,172
78,AT-abc3,Agile Team 1000 3,PI-1902,32,28,24,32,32,32,180
79,AT-abc4,Agile Team 1000 4,PI-1902,32,32,28,32,28,32,184
80,AT-abc5,Agile Team 1000 5,PI-1902,28,32,24,32,28,32,176
81,AT-abc6,Agile Team 1000 6,PI-1902,32,24,32,28,32,32,180
82,AT-abc7,Agile Team 1000 7,PI-1902,24,28,28,32,32,24,168
83,AT-abc8,Agile Team 1000 8,PI-1902,24,28,32,32,24,32,172
84,AT-abc9,Agile Team 1000 9,PI-1902,28,24,32,24,32,32,172
85,AT-800,800 Agile Team,PI-1902,32,28,24,32,32,32,180
86,AT-801,801 Agile Team,PI-1902,32,32,28,32,28,32,184
87,AT-802,802 Agile Team,PI-1902,32,28,32,24,32,28,176
88,AT-803,803 Agile Team,PI-1902,28,32,24,32,28,32,176
89,AT-804,804 Agile Team,PI-1902,32,24,32,28,32,32,180
90,AT-805,805 Agile Team,PI-1902,24,28,28,32,32,24,168
91,AT-806,806 Agile Team,PI-1902,24,28,32,32,24,32,172
92,AT-807,807 Agile Team,PI-1902,28,24,32,24,32,32,172
93,AT-808,808 Agile Team,PI-1902,32,28,24,32,32,32,180
94,AT-809,809 Agile Team,PI-1902,32,32,28,32,28,32,184
95,AT-810,810 Agile Team,PI-1902,32,28,32,24,32,28,176
96,AT-abc1,Agile Team 1000 1,PI-1902,28,32,24,32,28,32,176
97,AT-abc10,Agile Team 1000 10,PI-1902,32,24,32,28,32,32,180
98,AT-abc2,Agile Team 1000 2,PI-1902,24,28,28,32,32,24,168
99,AT-abc3,Agile Team 1000 3,PI-1902,24,28,32,32,24,32,172
100,AT-abc4,Agile Team 1000 4,PI-1902,28,24,32,24,32,32,172
101,AT-abc5,Agile Team 1000 5,PI-1902,32,28,24,32,32,32,180
102,AT-abc6,Agile Team 1000 6,PI-1902,32,32,28,32,28,32,184
103,AT-abc7,Agile Team 1000 7,PI-1902,32,32,32,28,32,24,180
104,AT-abc8,Agile Team 1000 8,PI-1902,32,32,28,24,28,32,176
105,AT-abc9,Agile Team 1000 9,PI-1902,32,32,24,32,24,28,172
106,AT-800,800 Agile Team,PI-1902,32,32,28,32,28,32,184
107,AT-801,801 Agile Team,PI-1902,24,28,32,28,32,32,176
108,AT-802,802 Agile Team,PI-1902,32,32,28,32,28,28,180
109,AT-803,803 Agile Team,PI-1902,32,28,24,32,32,32,180
110,AT-804,804 Agile Team,PI-1902,28,32,32,24,32,32,180
111,AT-805,805 Agile Team,PI-1902,32,28,28,28,32,32,180
112,AT-806,806 Agile Team,PI-1902,32,32,28,32,24,32,180
113,AT-807,807 Agile Team,PI-1902,32,32,32,28,28,24,176
114,AT-808,808 Agile Team,PI-1902,32,32,28,32,28,24,176
115,AT-809,809 Agile Team,PI-1902,32,32,32,28,32,28,184
116,AT-810,810 Agile Team,PI-1902,32,28,32,24,32,28,176
117,AT-abc1,Agile Team 1000 1,PI-1902,28,32,24,32,28,32,176
118,AT-abc10,Agile Team 1000 10,PI-1902,32,24,32,28,32,32,180
119,AT-abc2,Agile Team 1000 2,PI-1902,24,28,28,32,32,24,168
120,AT-abc3,Agile Team 1000 3,PI-1902,24,28,32,32,24,32,172
121,AT-abc4,Agile Team 1000 4,PI-1902,28,24,32,24,32,32,172
122,AT-abc5,Agile Team 1000 5,PI-1902,32,28,24,32,32,32,180
123,AT-abc6,Agile Team 1000 6,PI-1902,32,32,28,32,28,32,184
124,AT-abc7,Agile Team 1000 7,PI-1902,32,32,32,28,32,24,180
125,AT-abc8,Agile Team 1000 8,PI-1902,32,32,28,24,28,32,176
126,AT-abc9,Agile Team 1000 9,PI-1902,32,32,24,32,24,28,172
127,AT-800,800 Agile Team,PI-1902,32,32,28,32,28,32,184
128,AT-801,801 Agile Team,PI-1902,24,28,32,28,32,32,176
129,AT-802,802 Agile Team,PI-1902,32,32,28,32,28,28,180
130,AT-803,803 Agile Team,PI-1902,32,28,24,32,32,32,180
131,AT-804,804 Agile Team,PI-1902,28,32,32,24,32,32,180
132,AT-805,805 Agile Team,PI-1902,32,24,32,28,32,32,180
133,AT-806,806 Agile Team,PI-1902,24,28,28,32,32,24,168
134,AT-807,807 Agile Team,PI-1902,24,28,32,32,24,32,172
135,AT-808,808 Agile Team,PI-1902,28,24,32,24,32,32,172
136,AT-809,809 Agile Team,PI-1902,32,28,24,32,32,32,180
137,AT-810,810 Agile Team,PI-1902,32,32,28,32,28,32,184
138,AT-abc1,Agile Team 1000 1,PI-1902,28,32,32,24,32,32,180
139,AT-abc10,Agile Team 1000 10,PI-1902,32,24,32,28,32,32,180
140,AT-abc2,Agile Team 1000 2,PI-1902,24,28,28,32,32,24,168
141,AT-abc3,Agile Team 1000 3,PI-1902,24,28,32,32,24,32,172
142,AT-abc4,Agile Team 1000 4,PI-1902,28,24,32,24,32,32,172
143,AT-abc5,Agile Team 1000 5,PI-1902,32,28,24,32,32,32,180
144,AT-abc6,Agile Team 1000 6,PI-1902,32,32,28,32,28,32,184
145,AT-abc7,Agile Team 1000 7,PI-1902,32,32,28,24,28,32,176
146,AT-abc8,Agile Team 1000 8,PI-1902,32,32,24,32,24,28,172
147,AT-abc9,Agile Team 1000 9,PI-1902,32,32,28,32,28,32,184
148,AT-800,800 Agile Team,PI-1905,24,28,32,28,32,32,176
149,AT-801,801 Agile Team,PI-1905,32,32,28,32,28,28,180
150,AT-802,802 Agile Team,PI-1905,32,28,24,32,32,32,180
151,AT-803,803 Agile Team,PI-1905,28,32,32,24,32,32,180
152,AT-804,804 Agile Team,PI-1905,28,32,24,32,28,32,176
153,AT-805,805 Agile Team,PI-1905,32,24,32,28,32,32,180
154,AT-806,806 Agile Team,PI-1905,24,28,28,32,32,24,168
155,AT-807,807 Agile Team,PI-1905,24,28,32,32,24,32,172
156,AT-808,808 Agile Team,PI-1905,28,24,32,24,32,32,172
157,AT-809,809 Agile Team,PI-1905,32,28,24,32,32,32,180
158,AT-810,810 Agile Team,PI-1905,32,32,28,32,28,32,184
159,AT-abc1,Agile Team 1000 1,PI-1905,32,32,32,28,32,24,180
160,AT-abc10,Agile Team 1000 10,PI-1905,32,32,28,24,28,32,176
161,AT-abc2,Agile Team 1000 2,PI-1905,32,32,24,32,24,28,172
162,AT-abc3,Agile Team 1000 3,PI-1905,32,32,28,32,28,32,184
163,AT-abc4,Agile Team 1000 4,PI-1905,24,28,32,28,32,32,176
164,AT-abc5,Agile Team 1000 5,PI-1905,32,32,28,32,28,28,180
165,AT-abc6,Agile Team 1000 6,PI-1905,32,28,24,32,32,32,180
166,AT-abc7,Agile Team 1000 7,PI-1905,28,32,32,24,32,32,180
167,AT-abc8,Agile Team 1000 8,PI-1905,28,32,32,24,32,32,180
168,AT-abc9,Agile Team 1000 9,PI-1905,32,24,32,28,32,32,180
169,AT-800,800 Agile Team,PI-1905,24,28,28,32,32,24,168
170,AT-801,801 Agile Team,PI-1905,24,28,32,32,24,32,172
171,AT-802,802 Agile Team,PI-1905,28,24,32,24,32,32,172
172,AT-803,803 Agile Team,PI-1905,32,28,24,32,32,32,180
173,AT-804,804 Agile Team,PI-1905,32,32,28,32,28,32,184
174,AT-805,805 Agile Team,PI-1905,28,32,24,32,28,32,176
175,AT-806,806 Agile Team,PI-1905,32,24,32,28,32,32,180
176,AT-807,807 Agile Team,PI-1905,24,28,28,32,32,24,168
177,AT-808,808 Agile Team,PI-1905,24,28,32,32,24,32,172
178,AT-809,809 Agile Team,PI-1905,28,24,32,24,32,32,172
179,AT-810,810 Agile Team,PI-1905,32,28,24,32,32,32,180
180,AT-abc1,Agile Team 1000 1,PI-1905,32,32,28,32,28,32,184
181,AT-abc10,Agile Team 1000 10,PI-1905,32,28,32,24,32,28,176
182,AT-abc2,Agile Team 1000 2,PI-1905,28,32,24,32,28,32,176
183,AT-abc3,Agile Team 1000 3,PI-1905,32,24,32,28,32,32,180
184,AT-abc4,Agile Team 1000 4,PI-1905,24,28,28,32,32,24,168
185,AT-abc5,Agile Team 1000 5,PI-1905,24,28,32,32,24,32,172
186,AT-abc6,Agile Team 1000 6,PI-1905,28,24,32,24,32,32,172
187,AT-abc7,Agile Team 1000 7,PI-1905,32,28,24,32,32,32,180
188,AT-abc8,Agile Team 1000 8,PI-1905,32,32,28,32,28,32,184
189,AT-abc9,Agile Team 1000 9,PI-1905,32,28,32,24,32,28,176
190,AT-800,800 Agile Team,PI-1905,28,32,24,32,28,32,176
191,AT-801,801 Agile Team,PI-1905,32,24,32,28,32,32,180
192,AT-802,802 Agile Team,PI-1905,24,28,28,32,32,24,168
193,AT-803,803 Agile Team,PI-1905,24,28,32,32,24,32,172
194,AT-804,804 Agile Team,PI-1905,28,24,32,24,32,32,172
195,AT-805,805 Agile Team,PI-1905,32,28,24,32,32,32,180
196,AT-806,806 Agile Team,PI-1905,32,32,28,32,28,32,184
197,AT-807,807 Agile Team,PI-1905,32,32,32,28,32,24,180
198,AT-808,808 Agile Team,PI-1905,32,32,28,24,28,32,176
199,AT-809,809 Agile Team,PI-1905,32,32,24,32,24,28,172
200,AT-810,810 Agile Team,PI-1905,32,32,28,32,28,32,184
201,AT-abc1,Agile Team 1000 1,PI-1905,24,28,32,28,32,32,176
202,AT-abc10,Agile Team 1000 10,PI-1905,32,32,28,32,28,28,180
203,AT-abc2,Agile Team 1000 2,PI-1905,32,28,24,32,32,32,180
204,AT-abc3,Agile Team 1000 3,PI-1905,28,32,32,24,32,32,180
205,AT-abc4,Agile Team 1000 4,PI-1905,32,28,28,28,32,32,180
206,AT-abc5,Agile Team 1000 5,PI-1905,32,32,28,32,24,32,180
207,AT-abc6,Agile Team 1000 6,PI-1905,32,32,32,28,28,24,176
208,AT-abc7,Agile Team 1000 7,PI-1905,32,32,28,32,28,24,176
209,AT-abc8,Agile Team 1000 8,PI-1905,32,32,32,28,32,28,184
210,AT-abc9,Agile Team 1000 9,PI-1905,32,28,32,24,32,28,176
211,AT-800,800 Agile Team,PI-1905,28,32,24,32,28,32,176
212,AT-801,801 Agile Team,PI-1905,32,24,32,28,32,32,180
213,AT-802,802 Agile Team,PI-1905,24,28,28,32,32,24,168
214,AT-803,803 Agile Team,PI-1905,24,28,32,32,24,32,172
215,AT-804,804 Agile Team,PI-1905,28,24,32,24,32,32,172
216,AT-805,805 Agile Team,PI-1905,32,28,24,32,32,32,180
217,AT-806,806 Agile Team,PI-1905,32,32,28,32,28,32,184
218,AT-807,807 Agile Team,PI-1905,32,32,32,28,32,24,180
219,AT-808,808 Agile Team,PI-1905,32,32,28,24,28,32,176
220,AT-809,809 Agile Team,PI-1905,32,32,24,32,24,28,172
221,AT-810,810 Agile Team,PI-1905,32,32,28,32,28,32,184
222,AT-abc1,Agile Team 1000 1,PI-1905,24,28,32,28,32,32,176
223,AT-abc10,Agile Team 1000 10,PI-1905,32,32,28,32,28,28,180
224,AT-abc2,Agile Team 1000 2,PI-1905,32,28,24,32,32,32,180
225,AT-abc3,Agile Team 1000 3,PI-1905,28,32,32,24,32,32,180
226,AT-abc4,Agile Team 1000 4,PI-1905,32,24,32,28,32,32,180
227,AT-abc5,Agile Team 1000 5,PI-1905,24,28,28,32,32,24,168
228,AT-abc6,Agile Team 1000 6,PI-1905,24,28,32,32,24,32,172
229,AT-abc7,Agile Team 1000 7,PI-1905,28,24,32,24,32,32,172
230,AT-abc8,Agile Team 1000 8,PI-1905,32,28,24,32,32,32,180
231,AT-abc9,Agile Team 1000 9,PI-1905,32,32,28,32,28,32,184
232,AT-800,800 Agile Team,PI-1905,28,32,32,24,32,32,180
233,AT-801,801 Agile Team,PI-1905,32,24,32,28,32,32,180
234,AT-802,802 Agile Team,PI-1905,24,28,28,32,32,24,168
235,AT-803,803 Agile Team,PI-1905,24,28,32,32,24,32,172
236,AT-804,804 Agile Team,PI-1905,28,24,32,24,32,32,172
237,AT-805,805 Agile Team,PI-1905,32,28,24,32,32,32,180
238,AT-806,806 Agile Team,PI-1905,32,32,28,32,28,32,184
239,AT-807,807 Agile Team,PI-1905,32,32,28,24,28,32,176
240,AT-808,808 Agile Team,PI-1905,32,32,24,32,24,28,172
241,AT-809,809 Agile Team,PI-1905,32,32,28,32,28,32,184
242,AT-810,810 Agile Team,PI-1905,24,28,32,28,32,32,176
243,AT-abc1,Agile Team 1000 1,PI-1905,32,32,28,32,28,28,180
244,AT-abc10,Agile Team 1000 10,PI-1905,32,28,24,32,32,32,180
245,AT-abc2,Agile Team 1000 2,PI-1905,28,32,32,24,32,32,180
246,AT-abc3,Agile Team 1000 3,PI-1905,28,32,24,32,28,32,176
247,AT-abc4,Agile Team 1000 4,PI-1905,32,24,32,28,32,32,180
248,AT-abc5,Agile Team 1000 5,PI-1905,24,28,28,32,32,24,168
249,AT-abc6,Agile Team 1000 6,PI-1905,24,28,32,32,24,32,172
250,AT-abc7,Agile Team 1000 7,PI-1905,28,24,32,24,32,32,172
251,AT-abc8,Agile Team 1000 8,PI-1905,32,28,24,32,32,32,180
252,AT-abc9,Agile Team 1000 9,PI-1905,32,32,28,32,28,32,184
253,AT-800,800 Agile Team,PI-1905,32,32,32,28,32,24,180
254,AT-801,801 Agile Team,PI-1905,32,32,28,24,28,32,176
255,AT-802,802 Agile Team,PI-1905,32,32,24,32,24,28,172
256,AT-803,803 Agile Team,PI-1905,32,32,28,32,28,32,184
257,AT-804,804 Agile Team,PI-1905,24,28,32,28,32,32,176
258,AT-805,805 Agile Team,PI-1905,32,32,28,32,28,28,180
259,AT-806,806 Agile Team,PI-1905,32,28,24,32,32,32,180
260,AT-807,807 Agile Team,PI-1905,28,32,32,24,32,32,180
261,AT-808,808 Agile Team,PI-1905,28,32,32,24,32,32,180
262,AT-809,809 Agile Team,PI-1905,32,24,32,28,32,32,180
263,AT-810,810 Agile Team,PI-1905,24,28,28,32,32,24,168
264,AT-abc1,Agile Team 1000 1,PI-1905,24,28,32,32,24,32,172
265,AT-abc10,Agile Team 1000 10,PI-1905,28,24,32,24,32,32,172
266,AT-abc2,Agile Team 1000 2,PI-1905,32,28,24,32,32,32,180
267,AT-abc3,Agile Team 1000 3,PI-1905,32,32,28,32,28,32,184
268,AT-abc4,Agile Team 1000 4,PI-1905,28,32,24,32,28,32,176
269,AT-abc5,Agile Team 1000 5,PI-1905,32,24,32,28,32,32,180
270,AT-abc6,Agile Team 1000 6,PI-1905,24,28,28,32,32,24,168
271,AT-abc7,Agile Team 1000 7,PI-1905,24,28,32,32,24,32,172
272,AT-abc8,Agile Team 1000 8,PI-1905,28,24,32,24,32,32,172
273,AT-abc9,Agile Team 1000 9,PI-1905,32,28,24,32,32,32,180
274,AT-800,800 Agile Team,PI-1905,32,32,28,32,28,32,184
275,AT-801,801 Agile Team,PI-1905,32,28,32,24,32,28,176
276,AT-802,802 Agile Team,PI-1905,28,32,24,32,28,32,176
277,AT-803,803 Agile Team,PI-1905,32,24,32,28,32,32,180
278,AT-804,804 Agile Team,PI-1905,24,28,28,32,32,24,168
279,AT-805,805 Agile Team,PI-1905,24,28,32,32,24,32,172
280,AT-806,806 Agile Team,PI-1905,28,24,32,24,32,32,172
281,AT-807,807 Agile Team,PI-1905,32,28,24,32,32,32,180
282,AT-808,808 Agile Team,PI-1905,32,32,28,32,28,32,184
283,AT-809,809 Agile Team,PI-1905,28,32,24,32,28,32,176
284,AT-810,810 Agile Team,PI-1905,32,24,32,28,32,32,180
